reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
22101121006 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22101121006 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101121006&exam_held=November%2F2025
22101158052 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22101158052 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101158052&exam_held=November%2F2025
22102102004 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22102102004 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22102102004&exam_held=November%2F2025
22102110005 | 102 | 100206 | ENGLISH | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22102110005 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22102110005&exam_held=November%2F2025
22102113016 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22102113016 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22102113016&exam_held=November%2F2025
22103132021 | 103 | 100201,100202 | BASIC ELECTRICAL ENGINEERING,ENGINEERING GRAPHICS & DESIGN | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22103132021 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22103132021&exam_held=November%2F2025
22103135030 | 103 | 100202,103201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS) | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22103135030 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22103135030&exam_held=November%2F2025
22103153007 | 103 | 103202 | MATHEMATICS - II (LINEAR ALGEBRA, TRANSFORM CALCULUS AND NUMERICAL METHODS) | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22103153007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22103153007&exam_held=November%2F2025
22104102001 | 104 | 100202 | ENGINEERING GRAPHICS & DESIGN | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22104102001 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22104102001&exam_held=November%2F2025
22104102005 | 104 | 100202,103201 | ENGINEERING GRAPHICS & DESIGN,PHYSICS (WAVE AND OPTICS AND INTRODUCTION TO QUANTUM MECHANICS) | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=22104102005 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22104102005&exam_held=November%2F2025
